FILIAL; DATA PROC; IDADE INI; IDADE FIM;SETOR LOJA   ;MERC ;DIGITO;STATUS;DESCRICAO ;EMBALAGEM ;DT VENC   ;TRIBUTACAO;LC;QTDE_IDEAL;DT PRECO IND;PRECO IND;DT ULT ENTR;CUSTO ULT ENTR;QTDE ULT ENTR;QTDE PED COMPRA;QTDE PED FILIAL;QTDE PED NF AT;ESTOQ EMB1;ESTOQ EMB9;CUSTO MEDIO;PRECO VENDA;PERC RENT;QTDE VENDA EMB1;IDADE;NAO VENDE;TP ETIQ;MIX;DT PRECO;EMB.INTERMEDIARIA;PAR;DIREITO DEVOLUCAO;GESTAO ISV;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;15688;186; ;RF.QUEIJO GOUDA IPANEMA            ;KG  1 X 1000 1G     ;; ; ;1;     ;0;25/07/2025;55,35;9;0;0;0;5;53;53,51;92,9;10,24;0;270;999;X; ;11/05/2025;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;50592;102; ;RF.QJO.MOZ.BOLA BUFALA BOM DESTINO ;KG  1 X 1000 1G     ;; ; ;1;     ;0;03/03/2026;44,4;19;0;0;0;6;248;43,75;49,9;-12,24;9;49;1;X; ;08/04/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;14187;173; ;RF.QUEIJO M.FRESCAL IPANEMA        ;KG  1 X 1000 1G     ;; ; ;1;     ;0;14/04/2026;27,33;15;50;0;0;10;451;27,57;37,9;2,68;60;7;1;X; ;15/04/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;93320;158; ;QUEIJO PRATO AURORA FAT.           ;CXA 1 X 14 300G   ;; ; ;160;     ;0;15/04/2026;148,68;5;0;0;0;2;0;146,45;215,61;7,52;3;6;2;C; ;24/09/2025;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;47515;162; ;RF.CREME RICOTA POLENGHI LIGHT     ;CXA 1 X 18 150G   ;; ; ;128;     ;0;16/04/2026;100,82;3;0;0;0;2;17;100,35;71,46;-64,99;3;5;2;X; ;30/03/2026;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;91078;172; ;RF.QUEIJO MUSSARELA FORMOSA F3     ;KG  1 X 1000 1G     ;; ; ;1;     ;0;02/03/2026;24,67;188;313;0;0;11;690;26,01;37;5,11;0;50;41;C; ;20/03/2026;; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;71530;124; ;RF.QUEIJO GOUDA SUPREMO            ;KG  1 X 1000 1G     ;; ; ;50;     ;0;23/02/2026;48,11;6;6;0;0;6;417;49,41;90,8;13,43;3;60,42;1;C; ;01/10/2024;; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;89809;169; ;RF.QUEIJO MINAS FRESCAL SERRAMAR   ;KG  1 X 1000 1G     ;; ; ;95;     ;0;18/03/2026;22,11;27;923;0;0;14;466;22,13;33,9;10,14;25;46;16;C; ;08/04/2026;; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;61058;118; ;RF.REQ.CHEDDAR CATUPIRY POUCH      ;CXA 1 X 6 250G   ;; ; ;300;     ;0;16/04/2026;77,86;6;0;0;0;4;1;77,83;89,4;6,39;1;5;1;X; ;14/08/2025;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;86241;184; ;RF.QUEIJO MUSSARELA TIROLEZ F4     ;KG  1 X 1000 1G     ;; ; ;1;     ;0;26/03/2026;27,87;505;0;0;0;11;901;27,89;38,9;3,72;517;26;1;C; ;26/03/2026;; ; ;S;
